date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:14:47	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22583c90dd-247c%22	http://matthew.wagerfield.com/robots.txt		(from )
01:14:48	11674/11674	---M-Z	200	added ('OK')	text/html	etag:W/%22588226bd-2d9a%22	http://matthew.wagerfield.com/parallax/	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/index.html	(from )
01:14:49	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Sep%202018%2019:44:48%20GMT	http://wagerfield.github.io/parallax/assets/images/thumbnail.png	C:/My%20Web%20Sites/infox_hero/wagerfield.github.io/parallax/assets/images/thumbnail.0.delayed	(from http://matthew.wagerfield.com/parallax/)
01:14:53	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22583c90dd-247c%22	http://matthew.wagerfield.com/parallax/parallax.js	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/parallax.js	(from http://matthew.wagerfield.com/parallax/)
01:14:55	427/427	---M-Z	200	added ('OK')	text/plain	etag:W/%22588226bd-1ab%22	http://matthew.wagerfield.com/parallax/humans.txt	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/humans.txt	(from http://matthew.wagerfield.com/parallax/)
01:14:56	57579/57579	---M-Z	200	added ('OK')	text/css	etag:W/%22588226bd-e0eb%22	http://matthew.wagerfield.com/parallax/assets/styles/css/styles.css	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/styles/css/styles.css	(from http://matthew.wagerfield.com/parallax/)
01:14:57	1100/1100	---M--	200	added ('OK')	image/png	etag:%225371098d-44c%22	http://matthew.wagerfield.com/favicon.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/favicon.png	(from http://matthew.wagerfield.com/parallax/)
01:14:58	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Sep%202018%2019:44:56%20GMT	http://wagerfield.github.io/parallax/favicon.png	C:/My%20Web%20Sites/infox_hero/wagerfield.github.io/parallax/favicon.png	(from http://matthew.wagerfield.com/parallax/)
01:14:58	1682/1682	---M--	200	added ('OK')	image/png	etag:%22588226bd-692%22	http://matthew.wagerfield.com/parallax/favicon.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/favicon.png	(from http://matthew.wagerfield.com/parallax/)
01:15:02	10416/10416	---M--	200	added ('OK')	image/png	etag:%22588226bd-28b0%22	http://matthew.wagerfield.com/parallax/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/apple-touch-icon-72x72-precomposed.png	(from http://matthew.wagerfield.com/parallax/)
01:15:03	22971/22971	---M--	200	added ('OK')	image/png	etag:%22588226bd-59bb%22	http://matthew.wagerfield.com/parallax/apple-touch-icon-114x114-precomposed.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/apple-touch-icon-114x114-precomposed.png	(from http://matthew.wagerfield.com/parallax/)
01:15:05	33086/33086	---M--	200	added ('OK')	image/png	etag:%22588226bd-813e%22	http://matthew.wagerfield.com/parallax/apple-touch-icon-144x144-precomposed.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/apple-touch-icon-144x144-precomposed.png	(from http://matthew.wagerfield.com/parallax/)
01:15:05	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22583c90dd-247c%22	http://matthew.wagerfield.com/parallax/apple-touch-startup-image-320x460.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/apple-touch-startup-image-320x460.png	(from http://matthew.wagerfield.com/parallax/)
01:15:06	6814/6814	---M--	200	added ('OK')	image/png	etag:%22588226bd-1a9e%22	http://matthew.wagerfield.com/parallax/apple-touch-icon-57x57-precomposed.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/apple-touch-icon-57x57-precomposed.png	(from http://matthew.wagerfield.com/parallax/)
01:15:07	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22583c90dd-247c%22	http://matthew.wagerfield.com/parallax/apple-touch-startup-image-640x920.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/apple-touch-startup-image-640x920.png	(from http://matthew.wagerfield.com/parallax/)
01:15:08	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22583c90dd-247c%22	http://matthew.wagerfield.com/parallax/apple-touch-startup-image-768x1004.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/apple-touch-startup-image-768x1004.png	(from http://matthew.wagerfield.com/parallax/)
01:15:10	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2258618e9b-247c%22	http://matthew.wagerfield.com/parallax/apple-touch-startup-image-748x1024.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/apple-touch-startup-image-748x1024.png	(from http://matthew.wagerfield.com/parallax/)
01:15:11	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22583c90dd-247c%22	http://matthew.wagerfield.com/parallax/apple-touch-startup-image-1536x2008.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/apple-touch-startup-image-1536x2008.png	(from http://matthew.wagerfield.com/parallax/)
01:15:12	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22585337e5-247c%22	http://matthew.wagerfield.com/parallax/apple-touch-startup-image-2048x1496.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/apple-touch-startup-image-2048x1496.png	(from http://matthew.wagerfield.com/parallax/)
01:15:16	35266/35266	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/infox_hero/www.google-analytics.com/analytics.js	(from http://matthew.wagerfield.com/parallax/)
01:15:16	9724/9724	---M--	200	added ('OK')	image/png	etag:%22588226bd-25fc%22	http://matthew.wagerfield.com/parallax/assets/images/rope.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/images/rope.png	(from http://matthew.wagerfield.com/parallax/)
01:15:17	1672/1672	---M--	200	added ('OK')	image/png	etag:%22588226bd-688%22	http://matthew.wagerfield.com/parallax/assets/images/tilt.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/images/tilt.png	(from http://matthew.wagerfield.com/parallax/)
01:15:20	228935/228935	---M-Z	200	added ('OK')	application/x-javascript	etag:%224a20a0907d08f53ace3cab77d7463b7f%22	http://connect.facebook.net/en_GB/all.js	C:/My%20Web%20Sites/infox_hero/connect.facebook.net/en_GB/all.js	(from http://matthew.wagerfield.com/parallax/)
01:15:21	18318/18318	---M-Z	200	added ('OK')	application/javascript	etag:W/%22588226bd-478e%22	http://matthew.wagerfield.com/parallax/deploy/jquery.parallax.js	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/deploy/jquery.parallax.js	(from http://matthew.wagerfield.com/parallax/)
01:15:24	128590/128590	---M-Z	200	added ('OK')	application/javascript	etag:W/%22588226bd-1f64e%22	http://matthew.wagerfield.com/parallax/assets/scripts/js/libraries.min.js	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/scripts/js/libraries.min.js	(from http://matthew.wagerfield.com/parallax/)
01:15:37	783079/783079	---M--	200	added ('OK')	image/png	etag:%22588226bd-bf2e7%22	http://matthew.wagerfield.com/parallax/assets/images/thumbnail.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/images/thumbnail.png	(from http://matthew.wagerfield.com/parallax/)
01:15:39	1952/1952	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22588226bd-7a0%22	http://matthew.wagerfield.com/parallax/assets/fonts/icons/icons.eot	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/fonts/icons/icons.eot	(from http://matthew.wagerfield.com/parallax/assets/styles/css/styles.css)
01:15:39	1952/1952	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22588226bd-7a0%22	http://matthew.wagerfield.com/parallax/assets/fonts/icons/icons.eot?	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/fonts/icons/iconsd41d.eot	(from http://matthew.wagerfield.com/parallax/assets/styles/css/styles.css)
01:15:40	2464/2464	---M--	200	added ('OK')	font/woff	etag:%22588226bd-9a0%22	http://matthew.wagerfield.com/parallax/assets/fonts/icons/icons.woff	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/fonts/icons/icons.woff	(from http://matthew.wagerfield.com/parallax/assets/styles/css/styles.css)
01:15:41	1796/1796	---M--	200	added ('OK')	font/ttf	etag:%22588226bd-704%22	http://matthew.wagerfield.com/parallax/assets/fonts/icons/icons.ttf	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/fonts/icons/icons.ttf	(from http://matthew.wagerfield.com/parallax/assets/styles/css/styles.css)
01:15:42	4097/4097	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22588226bd-1001%22	http://matthew.wagerfield.com/parallax/assets/fonts/icons/icons.svg	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/fonts/icons/icons.svg	(from http://matthew.wagerfield.com/parallax/assets/styles/css/styles.css)
01:15:43	758/758	---M--	200	added ('OK')	image/png	etag:%22588226bd-2f6%22	http://matthew.wagerfield.com/parallax/assets/images/cable.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/images/cable.png	(from http://matthew.wagerfield.com/parallax/assets/styles/css/styles.css)
01:15:43	29719/29719	---M--	200	added ('OK')	image/jpeg	etag:%22588226bd-7417%22	http://matthew.wagerfield.com/parallax/assets/images/panel.jpg	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/images/panel.jpg	(from http://matthew.wagerfield.com/parallax/assets/styles/css/styles.css)
01:15:44	7362/7362	---M--	200	added ('OK')	image/png	etag:%22588226bd-1cc2%22	http://matthew.wagerfield.com/parallax/assets/images/compass.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/images/compass.png	(from http://matthew.wagerfield.com/parallax/assets/styles/css/styles.css)
01:15:45	2511/2511	---M--	200	added ('OK')	image/png	etag:%22588226bd-9cf%22	http://matthew.wagerfield.com/parallax/assets/images/map.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/images/map.png	(from http://matthew.wagerfield.com/parallax/assets/styles/css/styles.css)
01:15:54	35386/35386	---M--	200	added ('OK')	image/png	etag:%22588226bd-8a3a%22	http://matthew.wagerfield.com/parallax/assets/images/wave-plain.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/images/wave-plain.png	(from http://matthew.wagerfield.com/parallax/assets/styles/css/styles.css)
01:15:57	62998/62998	---M--	200	added ('OK')	image/png	etag:%22588226bd-f616%22	http://matthew.wagerfield.com/parallax/assets/images/lighthouse.png	C:/My%20Web%20Sites/infox_hero/matthew.wagerfield.com/parallax/assets/images/lighthouse.png	(from http://matthew.wagerfield.com/parallax/assets/styles/css/styles.css)
